date,tweet_count,neg,neu,pos,nlp_tweet_count,share_neutral,share_polarized,anger,disgust,fear,joy,neutral,sadness,surprise,Agreeableness,Conscientiousness,Extroversion,Neuroticism,Openness
2015-03-22,2,0.0015661208,0.0227901,0.9756438,2,0.0,1.0,0.0063651437,0.0061225547,0.012641631,0.19514921,0.15489288,0.00608138,0.6187472,0.19504428966316717,0.13100484864292405,0.1818549845714518,0.20463022908458134,0.18980333166402216
2015-03-23,2,0.12732878,0.73014593,0.14252529,2,1.0,0.0,0.012289103,0.0038604157,0.015442749,0.050459825,0.5015855,0.20734715,0.20901534,0.17333816913842867,0.11763938241710913,0.21286427393066973,0.21027588360133095,0.20665044615074388
2015-03-24,5,0.3414574,0.44050798,0.2180346,5,0.8,0.2,0.048043594,0.06994703,0.38065368,0.08874259,0.38207155,0.02180281,0.008738782,0.17799585378656557,0.12498588202770353,0.20901676919047954,0.21209060885210504,0.20834293072175308
2015-03-25,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-26,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-27,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-28,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-29,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-30,1,0.0023532163,0.37375346,0.6238934,1,0.0,1.0,0.0087748775,0.0022770362,0.01357401,0.15014486,0.57722557,0.018673066,0.22933054,0.15784537279506405,0.09906544816747902,0.2459345718387603,0.2155977006429777,0.21966685563022018
2015-03-31,3,0.011549934,0.44046888,0.5479812,3,0.3333333333333333,0.6666666666666666,0.011832113,0.0075610387,0.0041523385,0.095124304,0.6098562,0.0066017923,0.2648722,0.18554410756704548,0.11267495510409072,0.20019037835072,0.20664289217246423,0.18113226950263783
2015-04-01,1,0.00082128984,0.033700917,0.9654778,1,0.0,1.0,0.040981997,0.0024724347,0.14163263,0.42676964,0.19683205,0.017652469,0.17365879,0.16011594129137782,0.11218495764738144,0.22493889116813132,0.2065477986021418,0.22430340094226514
2015-04-02,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-03,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-04,1,0.90887284,0.0846458,0.0064813835,1,0.0,1.0,0.009347834,0.012540675,0.0067825806,0.007252039,0.4402676,0.13003725,0.393772,0.18445039380560874,0.12706952890523296,0.19480641803463214,0.20859506441865464,0.19654578841770304
2015-04-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-06,6,0.23021637,0.22269233,0.5470913,6,0.0,1.0,0.015684433,0.010269058,0.1708334,0.047050193,0.3395637,0.35765457,0.058944654,0.17666905258283755,0.11980374670004752,0.21146669745857063,0.21439834921653658,0.2146105294501935
2015-04-07,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-09,1,0.0033640761,0.53853667,0.45809922,1,1.0,0.0,0.019890044,0.0011063038,0.04653533,0.050980233,0.59199834,0.013258259,0.27623147,0.1648785672221465,0.1039214876952756,0.22276986859858716,0.2151022068801972,0.22009525668904087
2015-04-10,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-11,4,0.12241615,0.52912277,0.3484611,4,0.75,0.25,0.011282639,0.0039867796,0.014204035,0.051274415,0.75897217,0.02529158,0.13498846,0.1798476564807289,0.12596271764708117,0.19831730648646304,0.21036621659159171,0.19731384702801333
2015-04-12,1,0.0024601873,0.1064667,0.89107317,1,0.0,1.0,0.0039529707,0.00048652446,0.0011431118,0.7176627,0.062331963,0.0067831622,0.20763958,0.16861282130359734,0.12319215447592864,0.1796736867872032,0.21676395226771744,0.18872040986217972
2015-04-13,5,0.26684755,0.6529538,0.080198646,5,0.8,0.2,0.06180179,0.010406529,0.111734554,0.00918143,0.59966624,0.13355772,0.073651746,0.17876766184546986,0.11638397811121481,0.20618422405379705,0.21323692505604114,0.199065110992511
2015-04-14,4,0.19765085,0.6187669,0.18358223,4,1.0,0.0,0.006821315,0.0027716407,0.010301581,0.073823296,0.63262093,0.08989811,0.1837631,0.18018640125984303,0.10710278269792907,0.19529923249574152,0.21601653332931084,0.20491793336357994
2015-04-15,7,0.08957798,0.48330897,0.42711306,7,0.7142857142857143,0.2857142857142857,0.12712096,0.079809345,0.036004744,0.06371681,0.61480856,0.019405318,0.059134305,0.1724613057003457,0.11590101136241479,0.210151341318809,0.2182730482785335,0.20853126871146482
2015-04-16,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-17,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-18,2,0.20182411,0.58484614,0.21332978,2,1.0,0.0,0.025537148,0.005574042,0.01559835,0.04177151,0.29880673,0.5040101,0.10870207,0.1830791303578504,0.1267537175320522,0.20169966321099306,0.20610291649383497,0.1940464642135177
2015-04-19,3,0.009651514,0.18175463,0.8085939,3,0.0,1.0,0.007021927,0.00086065545,0.036544327,0.063029334,0.20635329,0.014604428,0.67158604,0.16794909414954728,0.11433646442978969,0.21552812535553123,0.21838279735359115,0.20961812094263088
2015-04-20,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-21,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-22,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-23,1,0.0031546254,0.5693331,0.42751232,1,1.0,0.0,0.0054949,0.0007958847,0.008132713,0.051263474,0.75343055,0.02175465,0.15912783,0.16087127223515965,0.11148252422337558,0.23118322993845236,0.21042568843308915,0.22025021553722943
2015-04-24,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
