date,sp500_stockprice,sp500_volume,sp500_volatility
2016-01-23,1906.9000244140625,4901760000.0,0.0128879080719266
2016-01-24,1906.9000244140625,4901760000.0,0.0128879080719266
2016-01-25,1877.0799560546875,4401380000.0,0.013078949406035
2016-01-26,1903.6300048828125,4357940000.0,0.013412127354111
2016-01-27,1882.949951171875,4754040000.0,0.0131205397016057
2016-01-28,1893.3599853515625,4693010000.0,0.0131353504367354
2016-01-29,1940.239990234375,5497570000.0,0.0138273531795956
2016-01-30,1940.239990234375,5497570000.0,0.0138273531795956
2016-01-31,1940.239990234375,5497570000.0,0.0138273531795956
2016-02-01,1939.3800048828125,4322530000.0,0.0134914361993319
2016-02-02,1903.030029296875,4463190000.0,0.0136327093118791
2016-02-03,1912.530029296875,5172950000.0,0.0133676851333635
2016-02-04,1915.449951171875,5193320000.0,0.0132657892412293
2016-02-05,1880.050048828125,4929940000.0,0.0134562623009923
2016-02-06,1880.050048828125,4929940000.0,0.0134562623009923
2016-02-07,1880.050048828125,4929940000.0,0.0134562623009923
2016-02-08,1853.43994140625,5636460000.0,0.0133060650834164
2016-02-09,1852.2099609375,5183220000.0,0.0133119924164773
2016-02-10,1851.8599853515625,4471170000.0,0.0133240718356372
2016-02-11,1829.0799560546875,5500800000.0,0.0131462089906671
2016-02-12,1864.780029296875,4696920000.0,0.013816346360858
2016-02-13,1864.780029296875,4696920000.0,0.013816346360858
2016-02-14,1864.780029296875,4696920000.0,0.013816346360858
2016-02-15,1864.780029296875,4696920000.0,0.013816346360858
2016-02-16,1895.5799560546875,4570670000.0,0.0142233938727615
2016-02-17,1926.8199462890625,5011540000.0,0.0144104248119524
2016-02-18,1917.8299560546875,4436490000.0,0.0144067263577516
2016-02-19,1917.780029296875,4142850000.0,0.0142431303222402
2016-02-20,1917.780029296875,4142850000.0,0.0142431303222402
2016-02-21,1917.780029296875,4142850000.0,0.0142431303222402
2016-02-22,1945.5,4054710000.0,0.0138459279237206
2016-02-23,1921.27001953125,3890650000.0,0.0138936068920532
2016-02-24,1929.800048828125,4317250000.0,0.0139166260769634
2016-02-25,1951.699951171875,4118210000.0,0.0139978704493544
2016-02-26,1948.050048828125,4348510000.0,0.0131540757089283
2016-02-27,1948.050048828125,4348510000.0,0.0131540757089283
2016-02-28,1948.050048828125,4348510000.0,0.0131540757089283
2016-02-29,1932.22998046875,4588180000.0,0.012918072298271
2016-03-01,1978.3499755859373,4819750000.0,0.0129107359988615
2016-03-02,1986.449951171875,4666610000.0,0.0129160102934963
2016-03-03,1993.4000244140625,5081700000.0,0.0126609073807314
2016-03-04,1999.989990234375,6049930000.0,0.012650901802891
2016-03-05,1999.989990234375,6049930000.0,0.012650901802891
2016-03-06,1999.989990234375,6049930000.0,0.012650901802891
2016-03-07,2001.760009765625,4968180000.0,0.0121956363828555
2016-03-08,1979.260009765625,4641650000.0,0.0120021999453524
2016-03-09,1989.260009765625,4038120000.0,0.0117953536093732
2016-03-10,1989.5699462890625,4376790000.0,0.0115652657092403
2016-03-11,2022.18994140625,4078620000.0,0.0118462235980876
2016-03-12,2022.18994140625,4078620000.0,0.0118462235980876
2016-03-13,2022.18994140625,4078620000.0,0.0118462235980876
2016-03-14,2019.6400146484373,3487850000.0,0.011085634516551
2016-03-15,2015.9300537109373,3560280000.0,0.0110962830201189
2016-03-16,2027.219970703125,4057020000.0,0.0104396807299007
2016-03-17,2040.5899658203125,4530480000.0,0.0104588420847616
2016-03-18,2049.580078125,6503140000.0,0.0104659613613014
2016-03-19,2049.580078125,6503140000.0,0.0104659613613014
2016-03-20,2049.580078125,6503140000.0,0.0104659613613014
