date,target_bitcoin_change_volatility_next
2022-01-24,0.8616798969816486
2022-01-25,0.0454794445713613
2022-01-26,0.0166037113176864
2022-01-27,-4.884090859827584
2022-01-28,0.7074515768534795
2022-01-29,-0.5180235036678305
2022-01-30,-0.2906410249525759
2022-01-31,-1.810766122324503
2022-02-01,0.4096400092881369
2022-02-02,3.1706419196350533
2022-02-03,0.2874479345121417
2022-02-04,20.268966037933158
2022-02-05,-0.0885927507469297
2022-02-06,-1.2152157201867575
2022-02-07,1.454630425761971
2022-02-08,0.0211031527682203
2022-02-09,-0.0083840702597148
2022-02-10,-0.0795751150549306
2022-02-11,-0.12560278043372
2022-02-12,-1.3215653988380316
2022-02-13,-0.2209156677227763
2022-02-14,0.1306762223151292
2022-02-15,2.935448148518849
2022-02-16,-0.3197152516977275
2022-02-17,8.670422466453086
2022-02-18,-0.0700622493568836
2022-02-19,-0.7156784766994884
2022-02-20,-13.015181699343367
2022-02-21,-0.5012078645388551
2022-02-22,-0.2851371530784852
2022-02-23,1.0551342389290452
2022-02-24,1.009479888689646
2022-02-25,0.6490308723180682
2022-02-26,-0.0183949961409135
2022-02-27,1.665682972597704
2022-02-28,23.34350007290782
2022-03-01,0.3523078186956407
2022-03-02,0.1073797691183431
2022-03-03,1.3445915305744682
2022-03-04,4.122203826125581
2022-03-05,0.0088776410562152
2022-03-06,-10.549373818083229
2022-03-07,0.0456430188928491
2022-03-08,-0.2781682414131903
2022-03-09,5.830561522586941
2022-03-10,3.3147652369792224
2022-03-11,0.0625085659801572
2022-03-12,-0.1203928313542768
2022-03-13,0.0233318641747137
2022-03-14,2.2069095476318967
2022-03-15,0.0307860261998582
2022-03-16,1.7497801690981918
2022-03-17,-1.8949592096889625
2022-03-18,0.3315211075993529
2022-03-19,-5.696846958912161
2022-03-20,0.361452688890207
2022-03-21,0.0222537293410818
2022-03-22,-1.162268679730516
2022-03-23,-1.5055407648287833
2022-03-24,-0.3603549609933809
2022-03-25,-0.9924426713391664
2022-03-26,-0.5004637066507334
2022-03-27,1.8263664634843304
2022-03-28,-0.0789292743625047
2022-03-29,-1.913670306477644
2022-03-30,-19.640280944979903
2022-03-31,0.9754049959704192
2022-04-01,0.1576828129658203
2022-04-02,-1.9146461666750936
2022-04-03,-12.776193861623032
2022-04-04,0.0066092506278536
2022-04-05,-0.267339234541819
2022-04-06,6.661090893073518
2022-04-07,-0.3377302204160548
2022-04-08,-10.678087405121206
2022-04-09,-10.215210493796844
2022-04-10,-0.3107192300873751
2022-04-11,12.92214852440152
2022-04-12,-1.5059112328075774
2022-04-13,-3.682470574013797
2022-04-14,2.3249736395634324
2022-04-15,-4.581690199290911
2022-04-16,-0.029014655726256
2022-04-17,-0.5321565472419687
2022-04-18,2.0062415003722966
2022-04-19,-0.5554104946716709
2022-04-20,-0.0214440821337147
2022-04-21,-1.5862465083148924
2022-04-22,0.2761387097364842
2022-04-23,-2.12855876427438
2022-04-24,-0.4261880345359237
2022-04-25,2.186702549178809
2022-04-26,-0.3874786868986568
2022-04-27,3.056610073248489
2022-04-28,0.5517466817251515
2022-04-29,1.430907104134005
2022-04-30,-1.0637068717955445
2022-05-01,0.458944120053939
2022-05-02,0.1253825335943537
2022-05-03,-0.4277181137017471
2022-05-04,7.788486069836509
2022-05-05,11.572206702809096
2022-05-06,-3.830558786962535
2022-05-07,-0.1977748663389733
2022-05-08,1.4307764987510962
2022-05-09,19.423468975523477
2022-05-10,1.57771823839703
2022-05-11,0.5760100882387764
2022-05-12,-0.5874987483702188
2022-05-13,-1.2756202871427311
2022-05-14,1.3768067384217098
2022-05-15,2.2208670418796483
2022-05-16,1.710536442714683
2022-05-17,0.8672139154367375
2022-05-18,0.953320488682574
2022-05-19,3.9480409947026063
2022-05-20,0.6750231694066189
2022-05-21,0.2859587455982249
2022-05-22,1.540655926155643
2022-05-23,1.0035051580015386
2022-05-24,0.7368250819058453
2022-05-25,-1.1476438257119526
2022-05-26,-2.544997615798384
2022-05-27,-1.434429663869552
2022-05-28,-0.3138181936050088
2022-05-29,0.6595946933354302
2022-05-30,6.773746955729787
2022-05-31,-0.5741988670119769
2022-06-01,3.030408870105239
2022-06-02,0.6717145069649266
2022-06-03,-2.8646226873942915
2022-06-04,-5.127565401455847
2022-06-05,0.0138503004485146
2022-06-06,2.8079809039590176
2022-06-07,-1.431463664686672
2022-06-08,-13.743773676092363
2022-06-09,-0.7996027445950848
2022-06-10,-5.18762247164849
2022-06-11,0.9304560459899136
2022-06-12,4.55265032572334
2022-06-13,32.431348201202546
2022-06-14,-1.9927042834824715
2022-06-15,-0.5303712885305178
2022-06-16,5.974070847160373
2022-06-17,-1.336961585053631
2022-06-18,-0.7055072946751784
2022-06-19,5.867882598241048
2022-06-20,-0.1323539133503581
2022-06-21,-1.0235739016590917
2022-06-22,-0.2077976013324711
2022-06-23,2.348507782747844
2022-06-24,0.1785415472195684
2022-06-25,0.3681655321452037
2022-06-26,0.0038985848863637
2022-06-27,-0.1906919294473619
2022-06-28,-0.6805731684238814
2022-06-29,-5.4902200316340855
2022-06-30,-0.2373555878623645
2022-07-01,-1.8141872069604936
2022-07-02,-0.9596838928949802
2022-07-03,0.1649086907500763
2022-07-04,2.7178910715090376
2022-07-05,-0.0918993599648421
2022-07-06,-2.181653283625229
2022-07-07,3.2985477541246366
2022-07-08,-0.0852258273538075
2022-07-09,-0.0280389320476914
2022-07-10,-0.0094361122777941
2022-07-11,0.6399526390697741
2022-07-12,-1.2911596835830874
